#Adapting	Inovking	Javasssist LyRT
0	0	28156	3590
0	1	29044	91117
0	2	30525	258929
0	3	37594	2309397
1	0	243241	8312
1	1	240222	67328
1	2	245722	262255
1	3	254863	2367581
2	0	2678334	50801
2	1	2700561	64184
2	2	2735835	278315
2	3	2746004	2507420
#3	0	22818351	105955
#3	1	22711607	173966
#3	2	22556485	364137
#3	3	22748129	2697515
#4	0	76450645	383897
#4	1	76312360	281083
#4	2	76229493	434019
#4	3	76871201	2767883
